"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"ECK120029424"	-14.6	-2	1000	-166	0	2096	1
"ECK120002616"	-51.2	0	1000	-1138	0	28	1
"ECK120002595"	-53.1	-137	1000	0	0	0	0
"ECK120002596"	-59.1	-472	1000	0	0	0	0
"ECK120002589"	-18.9	0	0	-86	1	102	0
"ECK125135299"	-45.9	0	1000	-22	1	72	1
"ECK120002505"	-18.5	-2	1000	-336	0	312	1
"ECK125229288"	-34.9	0	0	-11	0	412	1
"ECK120002617"	-72.77	-148	0	0	0	292	0
"ECK120002645"	-37.1	0	0	-21	1	0	1
"ECK120002618"	-15.6	-49	62	-114	0	619	1
"ECK120002619"	-37.8	0	0	-177	1	434	0
"ECK125121983"	-111.6	0	0	-326	0	101	1
"ECK120002590"	-101.4	-20	0	-517	1	0	0
"ECK120002620"	-57.6	0	0	-60	1	316	1
"ECK120030081"	-95.6	0	0	0	1	0	1
"ECK120030082"	-26.3	-2	0	-324	0	22	0
"ECK120030083"	-41.2	0	1000	0	1	8	1
"ECK125121987"	-57.6	0	54	0	1	0	1
"ECK125121989"	-92.6	0	0	0	1	2	1
"ECK120002542"	-96.8	-9	48	-216	1	204	1
"ECK120002578"	-20.3	0	1000	-70	0	10	0
"ECK120002621"	-49.8	-1000	0	-11	1	6	0
"ECK125135289"	-20.4	-297	124	-135	0	170	0
"ECK120002573"	-99.5	0	0	-44	1	211	1
"ECK120002579"	-52.3	-2	1000	-130	0	18	0
"ECK120002580"	-28.4	0	1000	-89	1	410	0
"ECK120002593"	-25.5	0	1000	-291	1	214	0
"ECK125203394"	-20.1	-87	1000	0	0	0	0
"ECK120002541"	-75.1	-11	969	-43	1	76	1
"ECK120002597"	-54.4	0	143	0	0	0	0
"ECK125135301"	-30.38	-45	0	-15	0	0	0
"ECK120002622"	-39.9	0	16	-80	0	55	0
"ECK120002623"	-48.2	0	156	0	0	0	0
"ECK120030085"	-50.6	0	155	0	0	0	0
"ECK120002581"	-81.9	-2	0	-78	1	19	1
"ECK125203384"	-26.8	-215	1000	0	0	0	0
"ECK120002511"	-146.6	0	9	-615	0	33	1
"ECK120002582"	-44.2	-245	0	-58	0	17	0
"ECK125122006"	-16.7	0	1000	0	0	0	0
"ECK120002583"	-32.5	-2	1000	-119	0	0	0
"ECK125135303"	-12.3	-5	1000	-15	0	556	1
"ECK125135305"	-13.2	0	1000	0	0	57	0
"ECK125122001"	-10.4	-114	1000	0	1	364	1
"ECK125122004"	-58.6	0	1000	0	1	169	0
"ECK120002584"	-21.6	0	1000	-123	1	122	0
"ECK125158033"	-26.4	-3	1000	-276	0	382	1
"ECK125158035"	-29.1	-3	1000	-507	0	151	1
"ECK125135001"	-15.8	0	0	-420	0	312	0
"ECK120002624"	-24.6	0	1000	-247	0	18	0
"ECK125203388"	-39.6	0	69	0	1	0	1
"ECK120002627"	-26.4	-2	1000	-50	0	364	1
"ECK120015142"	-42.9	0	257	-131	1	296	0
"ECK120015143"	-32.3	0	257	-131	1	361	0
"ECK120002585"	-34	-2	1000	-426	0	83	0
"ECK125135307"	-38	-1000	1000	-136	0	92	1
"ECK125145757"	-80	-488	1000	0	1	0	1
"ECK120002540"	-30.8	-2	0	-148	1	126	0
"ECK120002586"	-74.3	0	1000	-272	0	67	1
"ECK125122003"	-46	-182	1000	0	1	0	1
"ECK125135309"	-8.8	0	1000	-138	0	165	1
"ECK125230238"	-17.4	-547	0	-11	1	82	1
"ECK120002558"	-31.7	-1000	20	-63	0	96	0
"ECK120002647"	-41.8	0	0	-3	0	248	1
"ECK125121993"	-100.3	-1000	1000	0	1	444	0
"ECK120002587"	-41.5	0	0	0	0	413	0
"ECK125240343"	-48.4	-1000	338	-134	0	422	0
"ECK125135311"	-14.8	0	1000	-11	1	208	1
"ECK125121995"	-89.3	0	1000	0	0	0	0
"ECK120030092"	-23.9	0	1000	0	0	45	0
"ECK125121997"	0	-215	1000	0	1	0	1
"ECK125203400"	-17	-1000	1000	0	0	0	0
"ECK120030093"	-36.6	-2	125	0	0	157	0
